Frame,Visibility,X,Y
378,1,799,183
379,1,798,185
380,1,796,187
381,1,794,190
382,1,792,193
383,1,790,198
384,1,789,202
385,1,787,206
386,1,786,211
387,1,785,216
388,1,783,221
389,1,782,227
390,1,782,233
391,1,780,239
392,0,0,0
393,0,0,0
394,0,0,0
395,1,776,261
396,1,775,257
397,1,775,251
398,1,773,243
399,1,774,237
400,1,773,233
401,1,772,226
402,1,772,223
403,1,771,219
404,1,770,215
405,1,770,213
406,1,770,211
407,1,769,209
408,1,769,208
409,1,762,207
410,1,753,205
411,1,742,203
412,1,730,204
413,1,717,204
414,1,702,206
415,1,688,209
416,1,672,212
417,1,654,216
418,1,635,222
419,1,614,229
420,1,591,238
421,1,566,248
422,1,539,261
423,1,509,275
424,1,475,292
425,1,438,313
426,1,395,336
427,1,348,364
428,1,294,397
429,1,234,436
430,1,178,451
431,1,122,449
432,1,61,449
433,0,0,0
434,0,0,0
435,0,0,0
436,0,0,0
437,0,0,0
438,0,0,0
439,0,0,0
440,0,0,0
441,0,0,0
442,0,0,0
443,0,0,0
444,0,0,0
445,0,0,0
446,0,0,0
447,0,0,0
448,0,0,0
449,0,0,0
450,0,0,0
451,0,0,0
452,0,0,0
453,0,0,0
454,0,0,0
455,0,0,0
456,0,0,0
457,0,0,0
458,0,0,0
459,0,0,0
460,0,0,0
461,0,0,0
462,0,0,0
463,0,0,0
464,0,0,0
465,0,0,0
466,0,0,0
467,0,0,0
468,0,0,0
469,0,0,0
470,0,0,0
471,0,0,0
472,0,0,0
473,0,0,0
474,0,0,0
475,0,0,0
476,0,0,0
477,0,0,0
478,0,0,0
479,0,0,0
480,0,0,0
481,0,0,0
482,0,0,0
483,0,0,0
484,0,0,0
485,0,0,0
486,0,0,0
487,0,0,0
488,0,0,0
489,0,0,0
490,0,0,0
491,0,0,0
492,0,0,0
493,0,0,0
494,1,519,2
495,1,524,15
496,1,530,27
497,1,533,40
498,1,538,50
499,1,541,63
500,1,545,73
501,1,549,85
502,1,552,96
503,1,555,109
504,1,558,120
505,1,562,134
506,1,565,145
507,1,568,158
508,1,571,169
509,1,574,181
510,1,571,185
511,1,565,187
512,1,560,189
513,1,552,193
514,1,544,197
515,1,537,204
516,1,528,212
517,1,517,223
518,1,505,235
519,1,491,252
520,1,475,270
521,1,458,293
522,1,437,321
523,1,413,355
524,1,384,397
525,1,350,449
526,1,308,516
527,1,265,534
528,1,217,543
529,1,158,558
530,1,84,579
531,0,0,0
532,0,0,0
533,0,0,0
534,0,0,0
535,0,0,0
536,0,0,0
537,0,0,0
538,0,0,0
539,0,0,0
540,0,0,0
541,0,0,0
542,0,0,0
543,0,0,0
544,0,0,0
545,0,0,0
546,0,0,0
547,0,0,0
548,0,0,0
549,0,0,0
550,0,0,0
551,0,0,0
552,0,0,0
553,0,0,0
554,0,0,0
555,0,0,0
556,0,0,0
557,0,0,0
558,0,0,0
559,0,0,0
560,0,0,0
561,0,0,0
562,0,0,0
563,0,0,0
564,0,0,0
565,0,0,0
566,0,0,0
567,0,0,0
568,0,0,0
569,0,0,0
570,0,0,0
571,0,0,0
572,0,0,0
573,0,0,0
574,0,0,0
575,0,0,0
576,0,0,0
577,0,0,0
578,0,0,0
579,0,0,0
580,0,0,0
581,0,0,0
582,0,0,0
583,0,0,0
584,0,0,0
585,0,0,0
586,0,0,0
587,0,0,0
588,0,0,0
589,0,0,0
590,0,0,0
591,0,0,0
